Date,Open,High,Low,Close,Volume
2025-05-05,0.1705599,0.1746069,0.168408,0.170583,27599345.95295327
2025-05-06,0.1707185,0.1724098,0.1642608,0.1720165,29364982.61120546
2025-05-07,0.1721919,0.174292,0.16912,0.1720254,25739369.91808302
2025-05-08,0.1721257,0.1982731,0.1718531,0.1981466,91380579.7594685
2025-05-09,0.1981471,0.2145566,0.1930473,0.2053821,101873925.5134976
2025-05-10,0.2053821,0.2509999,0.2033505,0.2507912,127216060.8527355
2025-05-11,0.2506272,0.2594147,0.2219922,0.2318134,194373265.81467533
2025-05-12,0.2318475,0.2531587,0.220365,0.2310118,188085138.45004743
2025-05-13,0.231101,0.243194,0.2173346,0.2408327,119703994.48385605
2025-05-14,0.2409106,0.2473061,0.2283776,0.2326201,90799759.57885334
2025-05-15,0.2329652,0.2367887,0.2137856,0.2193883,156700269.82182792
2025-05-16,0.2193844,0.2308167,0.2181226,0.2211778,83756282.77476954
2025-05-17,0.2210037,0.2221811,0.2109,0.2146206,57742702.17050415
2025-05-18,0.2145487,0.2378018,0.2141418,0.2331418,95602019.91225208
2025-05-19,0.2332679,0.2356437,0.2140535,0.2244945,60468423.82894551
2025-05-20,0.2244445,0.2306119,0.2179186,0.2262855,46906663.21295653
2025-05-21,0.2263424,0.238,0.2227752,0.2340666,128564957.32859813
2025-05-22,0.2340595,0.2457659,0.2339241,0.2454904,139517097.3292699
2025-05-23,0.2454904,0.2542119,0.2229337,0.2252486,140890171.517555
2025-05-24,0.2250743,0.230297,0.2238,0.2251314,29756357.16632404
2025-05-25,0.225163,0.2264797,0.2157157,0.2249603,30855850.93468389
2025-05-26,0.2250887,0.2303115,0.2225032,0.2260962,30970607.30527736
2025-05-27,0.2260807,0.23209,0.2198445,0.2260991,66273328.6204669
2025-05-28,0.226085,0.2277362,0.2167322,0.220754,59926354.44911607
2025-05-29,0.2209636,0.228143,0.2139588,0.2148881,46326073.80830426
2025-05-30,0.2148575,0.2163721,0.190581,0.1935372,151734393.87502924
2025-05-31,0.1934112,0.1956026,0.1855531,0.1925647,114335715.3877882
2025-06-01,0.1925648,0.1949472,0.1865,0.1937897,112904474.36225636
2025-06-02,0.1937719,0.1962843,0.188508,0.1951448,89292094.24768916
2025-06-03,0.1950976,0.2005605,0.1935356,0.1944028,50302158.41155367
