Date,Open,High,Low,Close,Volume
2025-03-08,2139.49,2232.35,2105.76,2203.01,12444.07216529
2025-03-09,2203.18,2210.62,1991.13,2019.51,22145.70272612
2025-03-10,2019.51,2152.15,1810.66,1863.51,44650.75065639
2025-03-11,1863.51,1962.0,1753.01,1922.11,27955.88379175
2025-03-12,1923.08,1955.52,1830.42,1907.97,22627.89635978
2025-03-13,1908.05,1920.8,1822.12,1862.99,16264.56652363
2025-03-14,1862.99,1944.13,1861.71,1910.01,12153.97178796
2025-03-15,1910.01,1957.6,1904.03,1936.8,5868.36741711
2025-03-16,1936.81,1939.79,1862.26,1887.1,7434.08897205
2025-03-17,1887.1,1951.23,1881.0,1926.26,10018.43074833
2025-03-18,1926.26,1934.06,1872.31,1931.66,10578.2727335
2025-03-19,1931.28,2068.99,1927.77,2057.01,22377.91926825
2025-03-20,2056.71,2066.99,1951.96,1981.55,15477.38407813
2025-03-21,1981.61,1993.93,1935.91,1964.29,9119.37103192
2025-03-22,1964.29,2004.66,1964.28,1980.15,6396.27396696
2025-03-23,1980.15,2019.99,1977.27,2005.13,6546.97274361
2025-03-24,2005.13,2104.11,1978.12,2081.86,17932.4584707
2025-03-25,2081.37,2097.82,2038.61,2066.35,8602.29900806
2025-03-26,2066.36,2078.7,1982.36,2009.22,15485.38165328
2025-03-27,2009.64,2036.93,1987.86,2002.08,9482.79110463
2025-03-28,2002.09,2015.8,1860.0,1895.61,17157.66261686
2025-03-29,1896.0,1911.99,1796.04,1827.62,9150.65068788
2025-03-30,1827.69,1847.43,1767.65,1806.21,13130.84375911
2025-03-31,1806.21,1852.64,1777.72,1822.8,18053.95407815
2025-04-01,1822.06,1927.19,1819.01,1905.28,22687.98123522
2025-04-02,1905.28,1955.0,1781.97,1792.97,21161.26935611
2025-04-03,1794.85,1843.76,1750.0,1815.63,21584.19549121
2025-04-04,1815.62,1834.03,1759.59,1815.21,18589.8883563
2025-04-05,1815.99,1826.0,1765.01,1805.58,5388.08485084
2025-04-06,1805.58,1815.38,1783.73,1787.47,2216.35270459
